weight_name,weights,threshold,f1_score,precision,recall
XGB-focused,"[0.3, 0.55, 0.15]",0.56,0.9624724061810155,0.9775784753363229,0.9478260869565217
LGB+XGB,"[0.45, 0.45, 0.1]",0.36,0.9624724061810155,0.9775784753363229,0.9478260869565217
XGB+Cat,"[0.15, 0.55, 0.3]",0.47,0.9624724061810155,0.9775784753363229,0.9478260869565217
XGB+Cat,"[0.15, 0.55, 0.3]",0.46,0.9624724061810155,0.9775784753363229,0.9478260869565217
XGB+Cat,"[0.15, 0.55, 0.3]",0.45,0.9624724061810155,0.9775784753363229,0.9478260869565217
Cat-focused,"[0.25, 0.25, 0.5]",0.61,0.9624724061810155,0.9775784753363229,0.9478260869565217
LGB-focused,"[0.55, 0.3, 0.15]",0.45,0.9624724061810155,0.9775784753363229,0.9478260869565217
LGB-focused,"[0.55, 0.3, 0.15]",0.44,0.9624724061810155,0.9775784753363229,0.9478260869565217
LGB-focused,"[0.55, 0.3, 0.15]",0.43,0.9624724061810155,0.9775784753363229,0.9478260869565217
LGB-focused,"[0.55, 0.3, 0.15]",0.42,0.9624724061810155,0.9775784753363229,0.9478260869565217
